text,intent
"i have natural, healthy nails.",healthy_nail
smooth surface and pink bed.,healthy_nail
they are growing normally.,healthy_nail
i think my nails are healthy.,healthy_nail
nothing to worry about with my nails.,healthy_nail
my nails are clean and healthy.,healthy_nail
they are strong and intact.,healthy_nail
i have good nails.,healthy_nail
the edges are smooth.,healthy_nail
no dents or holes.,healthy_nail
"they are a nice, uniform shade of pink.",healthy_nail
my nails are looking good today.,healthy_nail
"i have beautiful, normal nails.",healthy_nail
the surface is not flaking or peeling.,healthy_nail
my natural nails are healthy.,healthy_nail
My natural nails are healthy.,healthy_nail
,
my nail beds are turning blue.,bluish_nail
why does my fingernail look a little cyanotic?,bluish_nail
my nails look a little blue or purple.,bluish_nail
i have a blue tint on my fingertips.,bluish_nail
the area under my nail is blue.,bluish_nail
what causes blue discoloration in my nails?,bluish_nail
my fingers look blue when they are cold.,bluish_nail
blue finger tips right now.,bluish_nail
is having a blue nail bed dangerous?,bluish_nail
my nail color is slightly cyan.,bluish_nail
blue-ish color in my fingernails.,bluish_nail
why are my nails turning a bluish color?,bluish_nail
my nail beds are looking purplish blue.,bluish_nail
i noticed a grayish blue under my nails.,bluish_nail
my nails look starved of oxygen.,bluish_nail
my toes have a blue tinge to them.,bluish_nail
"i have blue discoloration, is it cyanosis?",bluish_nail
my nail has a blue-grey appearance.,bluish_nail
"help, my nails are blue.",bluish_nail
my finger nails have a bluish cast.,bluish_nail
why is the nail bed blue?,bluish_nail
the color of my nails is shifting to blue.,bluish_nail
my thumbnail has turned blue.,bluish_nail
i have a blue spot under my nail that is not a bruise.,bluish_nail
my entire nail plate looks pale blue.,bluish_nail
nails look dusky or bluish purple.,bluish_nail
my fingers look blue because i'm cold.,bluish_nail
what does a lack of oxygen in nails look like?,bluish_nail
cyanotic nails symptom.,bluish_nail
the nail is a blueish hue.,bluish_nail
blue discoloration of the finger.,bluish_nail
i have a permanent blue tint to my nails.,bluish_nail
my nails have a purplish blue color.,bluish_nail
my big toe nail looks a bit blue.,bluish_nail
is blue color in the nail bad?,bluish_nail
my fingers are looking like i'm freezing.,bluish_nail
the nail is showing signs of cyanosis.,bluish_nail
my nail beds are a bluish-gray.,bluish_nail
i have a diffused blue coloration of the nails.,bluish_nail
what does blue skin under the nail mean?,bluish_nail
my hands are cold and my nails are blue.,bluish_nail
is this a blue nail disease?,bluish_nail
my nail is blue-tinged.,bluish_nail
the nail bed appears blueish.,bluish_nail
blueish discoloration on my index finger.,bluish_nail
my fingernail is getting blue.,bluish_nail
why are my nails not pink? they are blue.,bluish_nail
blue or purple color in the nail.,bluish_nail
i have a strange blue stain on my nail.,bluish_nail
my nails are a very pale blue.,bluish_nail
what's it called when nails are blue?,bluish_nail
my toes look blue and cold.,bluish_nail
my nails are a dark blue color.,bluish_nail
a general blue look to the nail.,bluish_nail
my nail plate is reflecting a blue light.,bluish_nail
i have a bluish nail abnormality.,bluish_nail
my fingers have blue nail beds.,bluish_nail
"is this a sign of poor circulation, the blue nail?",bluish_nail
my nails are blue and i am worried.,bluish_nail
blueish hue on fingernails.,bluish_nail
i have cyanosis in my nail area.,bluish_nail
my nail looks slightly blueish grey.,bluish_nail
blue coloration on my nail.,bluish_nail
the end of my finger is blue.,bluish_nail
the tissue under my nail is blue.,bluish_nail
i think i have blue finger nails.,bluish_nail
my nails have lost their pink color and are blue.,bluish_nail
the nail bed is blueish.,bluish_nail
i have blue fingernails.,bluish_nail
what does it mean to have blue nails?,bluish_nail
my fingers are blue and tingly.,bluish_nail
a blue or dusky discoloration.,bluish_nail
the nail has a bluish tint.,bluish_nail
my finger has turned blue.,bluish_nail
i have bluish nails on both hands.,bluish_nail
my nails are blue from lack of warmth.,bluish_nail
blue under the nail bed.,bluish_nail
my pinky finger nail is blue.,bluish_nail
"the nail is not white or pink, it is blue.",bluish_nail
is blue nails related to heart problems?,bluish_nail
i have permanent blue fingernails.,bluish_nail
my fingers and toes are blue.,bluish_nail
blueish white nails.,bluish_nail
my nails have a faint blue tint.,bluish_nail
the nail is grayish-blue.,bluish_nail
my fingers are looking blue.,bluish_nail
why is my nail bed blue all the time?,bluish_nail
i'm worried about my blue nail.,bluish_nail
my hands have blue nails.,bluish_nail
blue color across the entire nail.,bluish_nail
blueish discoloration on my fingers.,bluish_nail
my fingers have blue color.,bluish_nail
i have blueish tinged nails.,bluish_nail
blue nails,bluish_nail
,
,
my fingertips look round and enlarged.,
my nails are curving downwards around the edges.,clubbing_nail
my fingertips look round and enlarged.,clubbing_nail
my nails are curving downwards around the edges.,clubbing_nail
my nail tips seem swollen or bulbous.,clubbing_nail
my fingers have a drumstick appearance.,clubbing_nail
i have really rounded fingernails.,clubbing_nail
the angle between my nail and cuticle is gone.,clubbing_nail
my fingers look clubbed at the ends.,clubbing_nail
the ends of my fingers are getting wide and puffy.,clubbing_nail
i can see a convex curvature on my nail.,clubbing_nail
what is nail clubbing a sign of?,clubbing_nail
my nail is convex and very curved.,clubbing_nail
i have very enlarged and round nail tips.,clubbing_nail
the soft tissue at the end of my finger is swollen.,clubbing_nail
my nails droop downwards severely.,clubbing_nail
i think i have hippocratic fingers.,clubbing_nail
the nail plate seems to be excessively curved.,clubbing_nail
my nails are rounding over the tips.,clubbing_nail
the shape of my nails is like a spoon turned over.,clubbing_nail
i have an increased curve in my nail.,clubbing_nail
my fingertips are wide and the nails curve down.,clubbing_nail
i see a visible swelling on my distal fingers.,clubbing_nail
what is that round swelling on my finger ends?,clubbing_nail
my nail looks like it is wrapping around the end of my toe.,clubbing_nail
my fingers are looking bulbous or thick at the tips.,clubbing_nail
the angle at the cuticle is greater than 180 degrees.,clubbing_nail
i have prominent distal phalanges.,clubbing_nail
my fingers have the appearance of clubbing.,clubbing_nail
my nails are shaped like parrot beaks.,clubbing_nail
i notice my nails are excessively convex.,clubbing_nail
the area where my nail meets the skin is swollen.,clubbing_nail
my fingers are enlarged at the joints.,clubbing_nail
i have grade 1 clubbing in my fingernails.,clubbing_nail
my nails are curving around my finger.,clubbing_nail
what is going on with the rounded ends of my fingers?,clubbing_nail
my fingernails have lost their normal angle.,clubbing_nail
i see soft tissue thickening under the nail.,clubbing_nail
my toes are also exhibiting this clubbed look.,clubbing_nail
i have this round swelling around the base of my nail.,clubbing_nail
the nail has a pronounced downward curve.,clubbing_nail
my nail seems to be bulging out.,clubbing_nail
is this early stage nail clubbing?,clubbing_nail
i have rounded ends on my fingers and toes.,clubbing_nail
my fingers are swollen near the nail.,clubbing_nail
the distal ends of my fingers are enlarged.,clubbing_nail
my thumbnail is very curved downward.,clubbing_nail
i have noticed my fingers rounding off.,clubbing_nail
my nail is excessively curved in all directions.,clubbing_nail
the sides of my nails are curving too much.,clubbing_nail
i have clubbed fingers.,clubbing_nail
my fingernails look like they are folding over.,clubbing_nail
i have a clubbed appearance on my fingers.,clubbing_nail
the tissue under my nail is puffy.,clubbing_nail
my nail is sharply curved down.,clubbing_nail
my fingertips look wide and red.,clubbing_nail
i have very prominent convexity of the nail plate.,clubbing_nail
what's the sign where the nails curve over?,clubbing_nail
i have rounding and enlargement of my nail beds.,clubbing_nail
my nails are wrapping around the end of the digit.,clubbing_nail
the nail seems very arched.,clubbing_nail
my index finger nail is showing clubbing.,clubbing_nail
i have a severe downward curving of the nail.,clubbing_nail
my fingers look swollen at the very end.,clubbing_nail
the nail plate is curved like a dome.,clubbing_nail
"my nails look different, very rounded.",clubbing_nail
my toes look clubbed.,clubbing_nail
the nail bed looks spongy when i press on it.,clubbing_nail
i have clubbing of the nails on both hands.,clubbing_nail
my finger ends are unusually thick.,clubbing_nail
the nail is curved over the tip of the finger.,clubbing_nail
i have a convex nail shape.,clubbing_nail
what does a grade 2 clubbing nail look like?,clubbing_nail
my finger pads are enlarged.,clubbing_nail
my nails are curving and the tip is swollen.,clubbing_nail
i noticed my nail angle is abnormal.,clubbing_nail
the ends of my fingers are swollen and my nails are curved.,clubbing_nail
i have thick and curved fingernails.,clubbing_nail
my nail bed is noticeably elevated.,clubbing_nail
the curvature of my nail is very pronounced.,clubbing_nail
my nail is convex and the fingertip is enlarged.,clubbing_nail
i think i see clubbing in my finger.,clubbing_nail
the nail looks like it is being pushed up.,clubbing_nail
i have a bulbous terminal phalanx.,clubbing_nail
my fingernails look like they have a small dome shape.,clubbing_nail
the entire nail is rounded down.,clubbing_nail
i have a club-shaped end on my finger.,clubbing_nail
my nails are too curved and round.,clubbing_nail
is this a case of finger clubbing?,clubbing_nail
the tips of my fingers seem swollen.,clubbing_nail
my nails are bending over the ends of my fingers.,clubbing_nail
i have an unusual roundness to my nails.,clubbing_nail
,clubbing_nail
,
"my toenail is thick, yellow, and crumbly at the tip.",onychomycosis
"i think I have a fungal infection, it smells bad and is thick.",onychomycosis
my toenail is crumbly and thick.,onychomycosis
i have a fungal nail infection on my thumb.,onychomycosis
"the nail is discolored, thick, and separates from the bed.",onychomycosis
i see a yellowing and thickening on my big toe.,onychomycosis
my fingernail is opaque and looks dirty.,onychomycosis
i think i have nail fungus.,onychomycosis
the edges of my nail are starting to crumble off.,onychomycosis
there is a white or yellowish streak on my nail.,onychomycosis
my nail is separating from the skin and is thick.,onychomycosis
subungual hyperkeratosis on my toe.,onychomycosis
i have a whitish patch on the surface of my nail.,onychomycosis
what are the symptoms of toenail fungus?,onychomycosis
my nail is distorted and has an abnormal shape.,onychomycosis
i have a fungal infection under my fingernail.,onychomycosis
the nail has turned brown and is very thick.,onychomycosis
my nail is brittle and breaking easily.,onychomycosis
my toe nail smells bad and is thick.,onychomycosis
i have a yellowish discoloration and my nail is lifting.,onychomycosis
my nails are chalky and crumbling.,onychomycosis
the nail plate is thick and rough.,onychomycosis
i see dark yellow spots under my nails.,onychomycosis
"is a thick, yellow nail fungus?",onychomycosis
my nail is detached at the end.,onychomycosis
i have longitudinal white streaks in my nail.,onychomycosis
my toe nail is peeling and thick.,onychomycosis
the nail is opaque and has white spots on the surface.,onychomycosis
i have a tinea unguium infection.,onychomycosis
there is debris building up under the nail.,onychomycosis
"my nails look infected, they are ugly and thick.",onychomycosis
the nail is partially destroyed and brittle.,onychomycosis
i have dystrophic nails that are yellow.,onychomycosis
my toenails are thick and dark.,onychomycosis
i have a distal subungual onychomycosis look.,onychomycosis
my nail is lifting from the bed and is thick.,onychomycosis
i have a white superficial fungal infection.,onychomycosis
the nail is turning brown and crumbling.,onychomycosis
"my nails are very thick and yellow, help.",onychomycosis
i see a lot of debris beneath my nail.,onychomycosis
my fingernail is separating and looks fungal.,onychomycosis
what does toenail fungus look like?,onychomycosis
my nail is very thick and hard to trim.,onychomycosis
i have a lateral fungal infection.,onychomycosis
the nail surface is white and patchy.,onychomycosis
my nail has turned yellow-brown.,onychomycosis
"the nail has an irregular, thick surface.",onychomycosis
i have onycholysis with thick debris.,onychomycosis
my nails are flaky and discolored.,onychomycosis
my toe nail is very thick and lifting.,onychomycosis
i have a fungal toe.,onychomycosis
my nail is yellow and has white spots.,onychomycosis
the nail plate is crumbling at the free edge.,onychomycosis
i have proximal subungual onychomycosis.,onychomycosis
my nail looks infected and is very thick.,onychomycosis
i have a nail infection causing thickening.,onychomycosis
the texture of my nail is rough and pitted.,onychomycosis
my big toe nail is yellowish-brown.,onychomycosis
i have a chronic nail fungus.,onychomycosis
the nail has turned cloudy and white.,onychomycosis
my toe nail is thick and lifted up.,onychomycosis
my nail is very brittle and separating.,onychomycosis
i have an accumulation of keratinous debris.,onychomycosis
my nails are thick and opaque.,onychomycosis
is it fungus if my nail is dark and thick?,onychomycosis
the nail has a powder-like appearance on top.,onychomycosis
my nail is thick and causing discomfort.,onychomycosis
i see white spots and thickness on my finger nail.,onychomycosis
my nail is separating at the sides.,onychomycosis
i have an infection making my nail thick and yellow.,onychomycosis
the nail is damaged and has white areas.,onychomycosis
my toe nail is crumbling from the inside out.,onychomycosis
i have nail dystrophy with yellow color.,onychomycosis
my nails look dull and thick.,onychomycosis
the nail is turning a greenish-yellow.,onychomycosis
i have a severe case of nail thickening.,onychomycosis
my nail is lifting up and has a horrible odor.,onychomycosis
is this nail separation due to fungus?,onychomycosis
my toe nail is yellowish and flaky.,onychomycosis
the thickness of my nail is getting worse.,onychomycosis
i have a fungal infection on my finger.,onychomycosis
the nail looks diseased and yellow.,onychomycosis
my nails are thick and brittle and i can't cut them.,onychomycosis
i have a total dystrophic onychomycosis.,onychomycosis
the nail plate is getting thicker and yellow.,onychomycosis
i have a nail that is lifting and discolored.,onychomycosis
my nails look like i have athlete's foot but on the nail.,onychomycosis
i think i need help with nail fungus symptoms.,onychomycosis
the nail looks infected and has changed color.,onychomycosis
my toe is thick and yellowish-white.,onychomycosis
i have a fungal nail.,onychomycosis
thick and yellow,onychomycosis
,
yellow nails,yellow_nail
full yellow nails,yellow_nail
my nails are fully yellow and they grow so slowly.,yellow_nail
"the whole nail is thick, yellow, and the cuticle is gone.",yellow_nail
my nails are fully yellow and they grow so slowly.,yellow_nail
"the whole nail is thick, yellow, and the cuticle is gone.",yellow_nail
i have all my fingernails yellow and they are very thick.,yellow_nail
my nails are uniformly yellow and barely growing.,yellow_nail
i have this yellow nail syndrome.,yellow_nail
"my nails are thick, yellowish, and have no lunula.",yellow_nail
all my nails are yellow and discolored.,yellow_nail
my nails have turned yellow and the edges are curved.,yellow_nail
"the nail is yellow, thick, and separates slightly.",yellow_nail
my nails are yellowish and they seem stuck in growth.,yellow_nail
"i have slow-growing, opaque, yellow nails.",yellow_nail
my nails are yellow and the cuticles are missing.,yellow_nail
what does yellow nail syndrome look like?,yellow_nail
the nail plate is thick and entirely yellow.,yellow_nail
i have persistent yellowing and thickening of the nails.,yellow_nail
my nails are yellow and my toes are swollen.,yellow_nail
the yellow color is present on all my nails.,yellow_nail
my fingernails are permanently yellow and thickened.,yellow_nail
"i have yellow, very hard nails that grow slowly.",yellow_nail
the nail surface is smooth but yellow and thick.,yellow_nail
i see a yellow discoloration covering the whole nail.,yellow_nail
my nails are thick and yellow but no sign of fungus.,yellow_nail
i have chronic yellow nails.,yellow_nail
my nails are slow growing and yellow.,yellow_nail
the whole nail is yellow and rigid.,yellow_nail
my nails are a dark yellow color and thickened.,yellow_nail
i have yellow nails and lymphoedema.,yellow_nail
my toenails are thick and yellow with no surrounding signs.,yellow_nail
the nails are yellow and the nail bed is lifted.,yellow_nail
i have uniform yellowing across all my fingers.,yellow_nail
my nails are completely yellow and seem to have stopped growing.,yellow_nail
the nail is yellow and has excessive curvature.,yellow_nail
"i have very hard, yellow, thick fingernails.",yellow_nail
my nails are yellow and growing at a slow rate.,yellow_nail
all my nails are thick and yellow.,yellow_nail
i have a yellow-green discoloration across the entire nail.,yellow_nail
"my nail is thick, yellow, and the lunula is not visible.",yellow_nail
my nails look yellow and the free edge is curved.,yellow_nail
"i have thick, opaque, yellow nails.",yellow_nail
my nails are yellow but not crumbly like fungus.,yellow_nail
i have yellow nail disease.,yellow_nail
the entire nail plate of my toe is yellow.,yellow_nail
"my nails are thick and yellow, it is difficult to cut them.",yellow_nail
my fingernails have become yellow and thick.,yellow_nail
i have yellowing of the nail plate.,yellow_nail
the nail is smooth but yellow and thick.,yellow_nail
my nails are yellow and thick with no cuticle.,yellow_nail
"i have yellow, thick nails that grow slowly.",yellow_nail
my nail is discolored yellow across the whole surface.,yellow_nail
the nails are turning yellow and they are very hard.,yellow_nail
my toes and fingers have thick yellow nails.,yellow_nail
i have yellow nails and respiratory problems.,yellow_nail
my entire nail is yellow.,yellow_nail
"the nail is thick, yellow, and has little growth.",yellow_nail
i have a diffused yellow color in my nails.,yellow_nail
my nails are thick and yellow and they have no cuticle.,yellow_nail
my fingernails are yellow and very slow growing.,yellow_nail
"i have a yellow, thick nail that is detached at the tip.",yellow_nail
"my nails are yellow, thick, and i have no half moons.",yellow_nail
the nail is uniformly yellow.,yellow_nail
i have yellow nails that are very thick.,yellow_nail
my nails look yellow and are not growing fast.,yellow_nail
my toe nail is thick and yellow all over.,yellow_nail
i have yellow discoloration on the nail.,yellow_nail
my nails are thick and yellow and the cuticle is retracted.,yellow_nail
the nail is yellow and has increased transverse curvature.,yellow_nail
"i have yellow, opaque nails that grow slowly.",yellow_nail
my fingernail is completely yellow.,yellow_nail
my nails are yellow and very thick and hard.,yellow_nail
i have a uniform yellow nail color.,yellow_nail
"the nail is thick, yellow, and slow-growing.",yellow_nail
all my fingers have thick yellow nails.,yellow_nail
my toenails are entirely yellow.,yellow_nail
i have yellow nails and my fingers swell.,yellow_nail
my nail is yellow and the surface is smooth.,yellow_nail
the nail is yellow and thickened.,yellow_nail
my nails are slow growing and yellow and hard.,yellow_nail
i have a yellowing and thickening of the nail plate.,yellow_nail
my nails are yellow and very brittle.,yellow_nail
the yellow color covers the whole nail surface.,yellow_nail
"i have thick, yellow nails that look rigid.",yellow_nail
"my fingers have yellow, thick nails.",yellow_nail
the nail is yellow and grows very slowly.,yellow_nail
my nails are a dense yellow color.,yellow_nail
"i have yellow, smooth, thick nails.",yellow_nail
the nails are yellow and look swollen.,yellow_nail
i have this persistent yellow color on my nail.,yellow_nail
what does the yellow nail condition look like?,yellow_nail
,
my nails have those tiny dents and some yellowish spots.,psoriasis
"I see pitting and ridging, could it be a skin condition?",psoriasis
my nails have tiny dents and some yellowish spots.,psoriasis
"i see pitting and ridging, could it be a skin condition?",psoriasis
"i have small, pinprick depressions on my nails.",psoriasis
the nail bed has a salmon patch color.,psoriasis
i have pitting and separation of the nail plate.,psoriasis
my nails look like they have oil drop spots.,psoriasis
i have chronic nail pitting on my fingers.,psoriasis
"the nail is separating from the bed, called onycholysis.",psoriasis
my nails are crumbly and i also have skin patches.,psoriasis
i have ridging and thickening with dots on the nail.,psoriasis
what does nail psoriasis look like?,psoriasis
i have thickening under the nail with small dents.,psoriasis
there are small holes in my nail plate.,psoriasis
i have red spots under my nails that look like bruises.,psoriasis
my nails are lifting up and i have psoriasis on my skin.,psoriasis
the texture of my nail is rough with deep ridges.,psoriasis
i see tiny blood spots under my nail (splinter hemorrhages).,psoriasis
my nails are thick and dirty-looking underneath.,psoriasis
"i have pitting, thickening, and discoloration.",psoriasis
my thumb nail has little holes in it.,psoriasis
the nail is flaky and i have discoloration.,psoriasis
my nails have pitting and are falling off.,psoriasis
i have this salmon-colored patch under my nail.,psoriasis
my nail is separating and the debris is thick.,psoriasis
is pitting on the nails a sign of psoriasis?,psoriasis
i have horizontal lines and pitting on my nails.,psoriasis
my nails are discolored with an oil spot effect.,psoriasis
"i have small dents, lifting, and the nail is thick.",psoriasis
the nail plate is rough and has pin holes.,psoriasis
my nails are crumbly and look like a fungal infection.,psoriasis
"i have pitted nails, should i be worried?",psoriasis
the nail looks opaque and thick with lifting.,psoriasis
i have psoriasis of the nail bed.,psoriasis
my nails are distorted with small indentations.,psoriasis
i see red dots on my nail bed.,psoriasis
my toe nail is thick and has pitting.,psoriasis
i have a yellowish-red spot on my nail bed.,psoriasis
"the nail is thick and separating, and i have skin psoriasis.",psoriasis
my nails have tiny holes and deep ridges.,psoriasis
"i have pits, oil drops, and separation.",psoriasis
my fingernails have small depressions and lifting.,psoriasis
the nail looks like it has been pricked by a pin.,psoriasis
i have leukonychia and pitting on my nail.,psoriasis
the nail plate is thick and has small pits.,psoriasis
i see subungual hyperkeratosis and nail dents.,psoriasis
my nails are crumbling and pitted.,psoriasis
i have the classic oil drop sign on my nail.,psoriasis
the nails are separating and look rough.,psoriasis
is it psoriasis if i have pitted nails and scaling?,psoriasis
my nails have splinter hemorrhages and separation.,psoriasis
i have discoloration that looks like an oil spot.,psoriasis
"my nail is separating, thick, and has those little pits.",psoriasis
i have tiny holes on my nail and the nail is thick.,psoriasis
i see red streaks under the nail.,psoriasis
my nail has a yellow-brown discoloration under the nail.,psoriasis
i have onycholysis with scaling.,psoriasis
"the nail is thick, discolored, and very pitted.",psoriasis
i have psoriasis affecting my fingernails.,psoriasis
"my nails are rough, thick, and have lots of pitting.",psoriasis
the nail looks like a thimble with all the little dents.,psoriasis
i have chronic nail changes associated with psoriasis.,psoriasis
the nail plate is crumbling and has deep dents.,psoriasis
i see white spots and pitting.,psoriasis
my toe nails have small holes and lifting.,psoriasis
the nail is lifting and i have a salmon patch.,psoriasis
i have rough nails with deep pitting.,psoriasis
my fingers have nails with holes and discoloration.,psoriasis
i see deep transverse grooves and pitting.,psoriasis
my nails are thick and have that yellow oil drop look.,psoriasis
the nail is brittle with pits and ridges.,psoriasis
i have pitting and a salmon-colored spot on my nail.,psoriasis
my nails are lifting and i have a chronic skin condition.,psoriasis
the nail plate has a thimble-like appearance.,psoriasis
i have nail psoriasis symptoms.,psoriasis
my nails have pits and are very thick.,psoriasis
the nail looks diseased and i have dents.,psoriasis
i have pitting and subungual debris.,psoriasis
my fingernail is separating with oil drop spots.,psoriasis
i see small indentations and thickening.,psoriasis
"my nail is thick, pitted, and has horizontal lines.",psoriasis
i have pits on my nail and it is lifting.,psoriasis
"the nail is discolored, thick, and pitted.",psoriasis
my nails have deep pitting and are separating.,psoriasis
i have the classical signs of nail psoriasis.,psoriasis
my nail plate has little pinpoint depressions.,psoriasis
"the nail looks damaged, pitted, and rough.",psoriasis
i have lifting and pitting on my nail.,psoriasis
,
dots on my nails,pitting
i have small pinprick holes all over my fingernails.,pitting
there are tiny little dots or dents in the nail plate.,pitting
i have small dents in my nail plate.,pitting
there are tiny little holes on my nails.,pitting
my nails are pitted with small indentations.,pitting
i see small pinprick holes all over my fingernails.,pitting
my nails look like they have been hit with a pin.,pitting
i have little dots or dimples on my fingernails.,pitting
what are these tiny little depressions in my nails?,pitting
my nail has a thimble-like appearance.,pitting
i see rows of shallow pits on my thumb nail.,pitting
"there are small, shallow holes on the surface of my nail.",pitting
my nail has pinpoint depressions all over it.,pitting
i have some small holes in my nail plate.,pitting
"my nails are not smooth, they have lots of dents.",pitting
what causes small dents in the nails?,pitting
i have many small pits on my index fingernail.,pitting
the nail surface is uneven with tiny holes.,pitting
i have nail pitting on my big toe.,pitting
my fingernails have little depressions.,pitting
i see pitting but no discoloration.,pitting
the surface of my nail looks like it has been pricked.,pitting
my nail has lots of tiny holes in it.,pitting
"i have small, random holes in my nails.",pitting
my nails are getting pitted and rough.,pitting
i have small dots carved into my nails.,pitting
is pitting a serious nail problem?,pitting
my nail plate has small indentations.,pitting
i see pitting on my hands and toes.,pitting
the nail surface has small pockmarks.,pitting
my nails look damaged with small dents.,pitting
i have deep pitting on my fingernails.,pitting
what is nail pitting a sign of?,pitting
my toenails are rough and have small pits.,pitting
i have fine pitting on my nails.,pitting
the nail surface is like a golf ball.,pitting
i see many tiny little holes on my nail.,pitting
"my nails have small, scattered holes.",pitting
i have a few pits on my thumb.,pitting
small dents on the nail plate.,pitting
my fingernail has several small indentations.,pitting
"the nail is not smooth, it has tiny pits.",pitting
i have very minor pitting on my nails.,pitting
"my nail has a rough, pitted texture.",pitting
what does the thimble sign look like?,pitting
i see a few little pinholes in my nail.,pitting
"my nails are covered in small, deep pits.",pitting
"i have dents on my nails, is it psoriasis?",pitting
the surface of my nail is full of small depressions.,pitting
i have nail pitting and ridging.,pitting
"my nail has small, noticeable holes.",pitting
i see a couple of small holes in my nail.,pitting
my toenails have tiny dents.,pitting
what are the tiny pits on my nails called?,pitting
i have rough nails with small pitting marks.,pitting
the nail looks like it has pinprick depressions.,pitting
my nails are bumpy with small pits.,pitting
i have nail pits on my fingers.,pitting
the nail plate looks damaged and pitted.,pitting
my nails have small dents in a scattered pattern.,pitting
i see a bunch of small holes in my fingernail.,pitting
my nails have that pinpoint look.,pitting
i have small indentations on my fingernails.,pitting
the nail is not smooth due to the small pits.,pitting
my nails are pitted but otherwise fine.,pitting
"i have small, shallow depressions on my nail.",pitting
the pits are small but very noticeable.,pitting
my fingernails are rough and pitted.,pitting
i have lots of little dents in my nail.,pitting
the surface of my nail is full of pits.,pitting
my toe has small pits on the nail.,pitting
i have pitting and separation of the nail.,pitting
"the nail plate has deep, small holes.",pitting
my nails are dented and uneven.,pitting
i see a pattern of small indentations.,pitting
"my nails have small, deep pits on them.",pitting
is it pitting if my nails have small holes?,pitting
i have pitted nails.,pitting
my nail has small holes on the surface.,pitting
the surface is uneven because of the pitting.,pitting
i have very noticeable nail pits.,pitting
my thumbnail has pitting.,pitting
the nail looks like it was stabbed with a needle.,pitting
i see small areas of depression on my nail.,pitting
"my nail has tiny holes, what is that?",pitting
i have pitting on multiple nails.,pitting
my nails feel rough due to the small dents.,pitting
,
"i have a new, dark, widening vertical stripe on my nail.",acral_lentiginous_melanoma
a black line that goes onto the cuticle skin.,acral_lentiginous_melanoma
dark line,acral_lentiginous_melanoma
"i have a new, dark, widening vertical stripe on my nail.",acral_lentiginous_melanoma
a black line that goes onto the cuticle skin.,acral_lentiginous_melanoma
i see a brown/black stripe on my nail that seems to be growing.,acral_lentiginous_melanoma
there is a new dark band running up my thumb nail.,acral_lentiginous_melanoma
